id,infinitiv,presens,preteritum,perfektum,inflId
A14031nb,fate,fater,fata,fata,P001nb
A14031nb,fate,fater,fatet,fatet,P010nb
A5626nb,bete,beter,betedde,betedd,P040nb
A28128nb,kabbe,kabber,kabba,kabba,P001nb
A28128nb,kabbe,kabber,kabbet,kabbet,P010nb
A48775nb,rokke,rokker,rokka,rokka,P001nb
A48775nb,rokke,rokker,rokket,rokket,P010nb
A51033nb,separere,separerer,separerte,separert,P020nb
A46685nb,prunke,prunker,prunka,prunka,P001nb
A46685nb,prunke,prunker,prunket,prunket,P010nb
A60795nb,tilhogge,tilhogger,tilhogde,tilhogd,P031nb
A60795nb,tilhogge,tilhogger,tilhogg,tilhogd,P052nb
A60795nb,tilhugge,tilhugger,tilhugget,tilhugget,P010nb
A60795nb,tilhugge,tilhugger,tilhugde,tilhugd,P031nb
A60795nb,tilhugge,tilhugger,tilhugg,tilhugd,P052nb
A26571nb,innløse,innløser,innløste,innløst,P020nb
A26571nb,innløyse,innløyser,innløyste,innløyst,P020nb
A25956nb,improvisere,improviserer,improviserte,improvisert,P020nb
A43580nb,overforsikre,overforsikrer,overforsikra,overforsikra,P001nb
A43580nb,overforsikre,overforsikrer,overforsikret,overforsikret,P010nb
A5150nb,bekymre,bekymrer,bekymra,bekymra,P001nb
A5150nb,bekymre,bekymrer,bekymret,bekymret,P010nb
A9593nb,dekretere,dekreterer,dekreterte,dekretert,P020nb
A52836nb,skipe,skiper,skipa,skipa,P001nb
A52836nb,skipe,skiper,skipet,skipet,P010nb
A30583nb,knubbe,knubber,knubba,knubba,P001nb
A30583nb,knubbe,knubber,knubbet,knubbet,P010nb
A64401nb,understellsbehandle,understellsbehandler,understellsbehandla,understellsbehandla,P001nb
A64401nb,understellsbehandle,understellsbehandler,understellsbehandlet,understellsbehandlet,P010nb
A24154nb,honorere,honorerer,honorerte,honorert,P020nb
A37212nb,mase,maser,masa,masa,P001nb
A37212nb,mase,maser,maset,maset,P010nb
A37212nb,mase,maser,maste,mast,P020nb
A16509nb,forløse,forløser,forløste,forløst,P020nb
A16509nb,forløyse,forløyser,forløyste,forløyst,P020nb
A17284nb,forvri,forvrir,forvridde,forvridd,P040nb
A50003nb,samordne,samordner,samordna,samordna,P001nb
A50003nb,samordne,samordner,samordnet,samordnet,P010nb
A13759nb,famle,famler,famla,famla,P001nb
A13759nb,famle,famler,famlet,famlet,P010nb
A99295nb,vektlegge,vektlegger,vektla,vektlagt,P104nb
A63398nb,tørke,tørker,tørka,tørka,P001nb
A63398nb,tørke,tørker,tørket,tørket,P010nb
A24862nb,hvitte,hvitter,hvitta,hvitta,P001nb
A24862nb,hvitte,hvitter,hvittet,hvittet,P010nb
A24862nb,kvite,kviter,kvita,kvita,P001nb
A24862nb,kvite,kviter,kvitet,kvitet,P010nb
A9238nb,dandere,danderer,danderte,dandert,P020nb
A55801nb,spankulere,spankulerer,spankulerte,spankulert,P020nb
A51164nb,setre,setrer,setra,setra,P001nb
A51164nb,setre,setrer,setret,setret,P010nb
A36188nb,lyde,lyder,lydde,lydd,P030nb
A41402nb,nyskape,nyskaper,nyskapte,nyskapt,P020nb
A32855nb,kurle,kurler,kurla,kurla,P001nb
A32855nb,kurle,kurler,kurlet,kurlet,P010nb
A23276nb,henvende,henvender,henvendte,henvendt,P020nb
A41278nb,nuske,nusker,nuska,nuska,P001nb
A41278nb,nuske,nusker,nusket,nusket,P010nb
A9638nb,delje,deljer,delja,delja,P001nb
A9638nb,delje,deljer,deljet,deljet,P010nb
A45231nb,pleie,pleier,pleide,pleid,P030nb
A44169nb,parasittere,parasitterer,parasitterte,parasittert,P020nb
A18865nb,gagne,gagner,gagna,gagna,P001nb
A18865nb,gagne,gagner,gagnet,gagnet,P010nb
A24380nb,hufse,hufser,hufsa,hufsa,P001nb
A24380nb,hufse,hufser,hufset,hufset,P010nb
A46110nb,prestere,presterer,presterte,prestert,P020nb
A57676nb,strigle,strigler,strigla,strigla,P001nb
A57676nb,strigle,strigler,striglet,striglet,P010nb
A765nb,alfabetisere,alfabetiserer,alfabetiserte,alfabetisert,P020nb
A3416nb,avdramatisere,avdramatiserer,avdramatiserte,avdramatisert,P020nb
A43183nb,optimalisere,optimaliserer,optimaliserte,optimalisert,P020nb
A11123nb,dukke,dukker,dukka,dukka,P001nb
A11123nb,dukke,dukker,dukket,dukket,P010nb
A53715nb,skryte,skryter,skrytte,skrytt,P020nb
A17738nb,frelse,frelser,frelste,frelst,P020nb
A49534nb,råle,råler,råla,råla,P001nb
A49534nb,råle,råler,rålet,rålet,P010nb
A49534nb,råle,råler,rålte,rålt,P020nb
A32673nb,kulte,kulter,kulta,kulta,P001nb
A32673nb,kulte,kulter,kultet,kultet,P010nb
A5168nb,belemre,belemrer,belemra,belemra,P001nb
A5168nb,belemre,belemrer,belemret,belemret,P010nb
A31959nb,krasjlande,krasjlander,krasjlanda,krasjlanda,P001nb
A31959nb,krasjlande,krasjlander,krasjlandet,krasjlandet,P010nb
A58234nb,subvenere,subvenerer,subvenerte,subvenert,P020nb
A61454nb,tomse,tomser,tomsa,tomsa,P001nb
A61454nb,tomse,tomser,tomset,tomset,P010nb
A27211nb,ise,iser,isa,isa,P001nb
A27211nb,ise,iser,iset,iset,P010nb
A27211nb,ise,iser,iste,ist,P020nb
A41660nb,nøyte,nøyter,nøytte,nøytt,P020nb
A48581nb,rikte,rikter,rikta,rikta,P001nb
A48581nb,rikte,rikter,riktet,riktet,P010nb
A20265nb,glimre,glimrer,glimra,glimra,P001nb
A20265nb,glimre,glimrer,glimret,glimret,P010nb
A46226nb,prioritere,prioriterer,prioriterte,prioritert,P020nb
A57600nb,streite,streiter,streita,streita,P001nb
A57600nb,streite,streiter,streitet,streitet,P010nb
A57600nb,straighte,straighter,straighta,straighta,P001nb
A57600nb,straighte,straighter,straightet,straightet,P010nb
A37241nb,maskinere,maskinerer,maskinerte,maskinert,P020nb
A48615nb,ringeakte,ringeakter,ringeakta,ringeakta,P001nb
A48615nb,ringeakte,ringeakter,ringeaktet,ringeaktet,P010nb
A60952nb,tilstoppe,tilstopper,tilstoppa,tilstoppa,P001nb
A60952nb,tilstoppe,tilstopper,tilstoppet,tilstoppet,P010nb
A43023nb,oppsette,oppsetter,oppsatte,oppsatt,P106nb
A62653nb,trø,trør,trødde,trødd,P040nb
A98315nb,mediere,medierer,medierte,mediert,P020nb
A27890nb,jorte,jorter,jorta,jorta,P001nb
A27890nb,jorte,jorter,jortet,jortet,P010nb
A47622nb,reaktivere,reaktiverer,reaktiverte,reaktivert,P020nb
A56306nb,sprade,sprader,sprada,sprada,P001nb
A56306nb,sprade,sprader,spradet,spradet,P010nb
A15083nb,fjerte,fjerter,fjerta,fjerta,P001nb
A15083nb,fjerte,fjerter,fjertet,fjertet,P010nb
A54604nb,sluse,sluser,slusa,slusa,P001nb
A54604nb,sluse,sluser,sluset,sluset,P010nb
A1326nb,alludere,alluderer,alluderte,alludert,P020nb
A24613nb,hurre,hurrer,hurra,hurra,P001nb
A24613nb,hurre,hurrer,hurret,hurret,P010nb
A98317nb,dispergere,dispergerer,dispergerte,dispergert,P020nb
A70201nb,antecedere,antecederer,antecederte,antecedert,P020nb
A46935nb,purre,purrer,purra,purra,P001nb
A46935nb,purre,purrer,purret,purret,P010nb
A46363nb,produsere,produserer,produserte,produsert,P020nb
A43806nb,overtyde,overtyder,overtyda,overtyda,P001nb
A43806nb,overtyde,overtyder,overtydet,overtydet,P010nb
A43806nb,overtyde,overtyder,overtydde,overtydd,P030nb
A17046nb,forsøke,forsøker,forsøkte,forsøkt,P020nb
A61867nb,transmittere,transmitterer,transmitterte,transmittert,P020nb
A38699nb,mistolke,mistolker,mistolka,mistolka,P001nb
A38699nb,mistolke,mistolker,mistolket,mistolket,P010nb
A5833nb,bifalle,bifaller,bifalt,bifalt,P055nb
A13057nb,erodere,eroderer,eroderte,erodert,P020nb
A29804nb,kjøre,kjører,kjørte,kjørt,P020nb
A53914nb,skvalpe,skvalper,skvalpa,skvalpa,P001nb
A53914nb,skvalpe,skvalper,skvalpet,skvalpet,P010nb
A39443nb,mulkte,mulkter,mulkta,mulkta,P001nb
A39443nb,mulkte,mulkter,mulktet,mulktet,P010nb
A4926nb,beføle,beføler,befølte,befølt,P020nb
A41639nb,nøre,nører,nøret,nøret,P010nb
A41639nb,nøre,nører,nørte,nørt,P020nb
A45952nb,prege,preger,prega,prega,P001nb
A45952nb,prege,preger,preget,preget,P010nb
A47986nb,rekonstruere,rekonstruerer,rekonstruerte,rekonstruert,P020nb
A49080nb,rumle,rumler,rumla,rumla,P001nb
A49080nb,rumle,rumler,rumlet,rumlet,P010nb
A27312nb,ispe,isper,ispedde,ispedd,P040nb
A52680nb,skeise,skeiser,skeisa,skeisa,P001nb
